iso_a2,cell_count,pop_sum
CN,36668,51675465.199999996
IN,30004,42840576.4
NG,9141,2045336.6
PK,5834,1404655.6
BR,5569,1203759.59
ID,4351,1197973.0
BD,5179,902097.4
EG,5243,560940.8
ET,4244,523709.60000000003
US,1435,481453.9
MX,2653,347482.8
TR,3741,319045.89999999997
RU,2096,311613.5
DE,3449,286784.3
IR,3094,271784.4
VN,1777,177124.6
PH,1540,175406.0
TZ,2604,164733.19999999998
TH,1741,124699.5
KE,2105,113656.6
SD,2094,96934.29999999999
UG,1959,92597.5
MM,1290,82118.3
JP,638,79431.0
DZ,1640,72387.20000000001
UA,1541,67158.3
GB,994,66896.2
PL,1720,65797.79999999999
IQ,1453,63338.7
IT,1062,63295.200000000004
CO,1200,62280.0
AR,1303,59813.99999999999
CA,1372,55313.1
AF,1304,54161.0
ZA,854,50642.2
AO,1403,48403.5
KR,921,47590.0
GH,1406,44566.0
SA,1170,41276.6
PE,1034,34569.5
YE,1025,34542.5
NP,848,33756.4
CI,1222,33603.2
MZ,892,29225.3
KP,689,24833.0
ES,520,24596.0
MA,635,23812.5
CM,827,23454.6
VE,710,20234.5
LK,889,19469.1
NA,744,19203.9
MY,542,18134.65
SY,782,16635.8
BF,721,15524.5
ML,629,13773.9
TD,708,12348.599999999999
ZW,622,9578.800000000001
RW,502,6676.6
SO,344,6226.400000000001
BI,453,5572.900000000001
BO,441,5408.400000000001
SS,393,4698.400000000001
BE,402,4663.2
CZ,422,4632.0
BY,403,4099.4
HT,337,3841.8
JO,340,3706.0
AZ,333,3561.2
MN,136,3402.9
SE,326,3390.4
SL,382,3315.2
TJ,316,3062.2
BT,34,2844.56
CU,239,2700.7000000000003
GR,258,2663.4
RS,259,1838.8999999999999
KG,228,1482.0
TM,210,1316.0
LR,179,948.6999999999999
KZ,26,588.6
GE,129,558.9
PT,46,547.8000000000001
CL,13,368.9
AM,94,290.5
IE,26,280.2
AT,24,260.1
BJ,23,255.8
NE,22,255.3
KH,27,253.60000000000002
GY,36,244.05
CH,24,236.5
SR,25,228.4
UY,23,227.4
LA,17,177.4
GW,84,174.8
FR,6,143.6
BZ,21,140.9
GN,26,137.6
ER,16,130.9
NL,4,106.9
BN,20,106.65
LU,24,105.8
TG,23,105.1
CD,23,103.19999999999999
PY,21,101.1
-1,174,97.8
EC,11,71.3
SI,20,69.1
UZ,25,63.1
PA,19,60.9
RO,25,55.5
MD,18,52.0
LB,19,51.1
SK,23,49.3
FI,23,31.3
BW,23,26.4
NO,3,21.3
LT,24,21.0
AU,39,19.5
CY,33,16.5
HR,17,15.1
VA,25,12.5
MK,24,12.0
JE,24,12.0
SZ,24,12.0
LV,23,11.5
QA,23,11.5
NU,23,11.5
NF,23,11.5
ZM,23,11.5
SN,23,11.5
MS,22,11.0
LY,22,11.0
LS,22,11.0
MR,22,11.0
XK,22,11.0
SG,22,11.0
DJ,22,11.0
BG,22,11.0
HU,21,10.5
HK,21,10.5
EE,21,10.5
AL,21,10.5
BA,21,10.5
BL,21,10.5
LI,21,10.5
JM,21,10.5
NI,21,10.5
KW,21,10.5
GI,21,10.5
GA,20,10.0
GT,20,10.0
CG,20,10.0
TN,20,10.0
MG,20,10.0
IM,19,9.5
PS,19,9.5
SX,19,9.5
DO,19,9.5
CF,19,9.5
GL,19,9.5
SV,19,9.5
AQ,18,9.0
MF,18,9.0
PR,18,9.0
PM,17,8.5
TL,17,8.5
ME,17,8.5
GM,17,8.5
DK,17,8.5
AE,17,8.5
FK,17,8.5
MW,16,8.0
HM,16,8.0
GU,16,8.0
HN,16,8.0
TW,15,7.5
IL,15,7.5
MO,15,7.5
PG,15,7.5
AW,14,7.0
BM,14,7.0
MT,13,6.76
TT,13,6.5
EH,13,6.5
OM,13,6.5
SB,9,6.39
CV,12,6.0
KN,11,5.5
VG,11,5.5
BH,11,5.5
IS,14,5.32
FO,10,5.0
KM,10,5.0
TC,10,5.0
NC,9,4.5
CR,9,4.5
AX,8,4.0
VI,8,4.0
BB,13,3.7699999999999996
AI,6,3.0
GG,6,3.0
GQ,5,2.5
ST,5,2.5
BS,5,2.05
MP,4,2.0
LC,9,1.6199999999999999
WS,6,1.2000000000000002
CW,6,1.1400000000000001
WF,2,1.0
VU,2,0.64
MU,1,0.5
TF,1,0.5
GS,1,0.5
AS,1,0.5
NZ,1,0.5
AD,4,0.32
DM,4,0.28
GD,2,0.26
AG,2,0.2
VC,1,0.1
KY,1,0.07
MC,1,0.04
SM,1,0.03
NR,1,0.01
